HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
781,2708,3329,708.0,15031.0,880,1557,2147,2503,2976,6420,15031
782,18,1440,0.0,13548.0,0,0,0,0,0,234,13548
783,449,3,231.0,585.0,231,231,231,531,585,585,585
784,19,39,1.0,311.0,1,1,1,5,21,80,80
785,4231,288,343.0,22444.0,437,453,625,921,8326,16069,17696
786,661,1440,328.0,6670.0,328,359,453,515,610,2771,6670
787,286,357,0.0,5927.0,0,0,0,12,46,4833,5927
788,432,677,0.0,11227.0,0,0,10,17,20,10414,11227
789,8402,30,23.0,100402.0,23,23,101,549,4017,100402,100402
790,193,720,74.0,343.0,74,78,187,203,204,267,343
791,27,55,0.0,547.0,0,0,0,15,18,547,547
792,7,4,4.0,9.0,6,6,6,6,7,9,9
793,593,2275,47.0,12078.0,62,147,203,250,380,4796,11998
794,300,664,15.0,2593.0,15,31,171,257,375,1094,2593
795,712,1435,3.0,7536.0,3,4,11,132,1022,4253,7536
796,23,288,5.0,1426.0,5,7,12,19,20,198,1426
797,695,1158,160.0,9351.0,162,168,192,293,552,6137,9351
798,5,288,0.0,358.0,0,0,0,0,0,170,358
799,0,720,0.0,60.0,0,0,0,0,0,29,60
800,129,482,46.0,696.0,46,62,93,109,126,398,696
801,54,277,15.0,709.0,17,17,30,42,59,225,709
802,62,361,0.0,1448.0,0,0,0,0,17,1079,1448
803,519,480,46.0,2150.0,46,94,468,520,581,1279,2150
804,31990,314,214.0,63839.0,214,30014,30072,30216,35019,43834,63839
805,177,2867,0.0,23906.0,0,19,78,81,93,1913,11963
806,951,288,375.0,6970.0,375,388,515,625,1171,4609,6970
807,146,24,12.0,1410.0,24,24,24,43,94,1075,1075
808,685,4320,609.0,1562.0,609,640,665,679,695,828,1562
809,26,92,1.0,174.0,1,1,5,12,33,147,147
810,21994,1583,46.0,187289.0,60,296,5221,15559,30026,114258,187289
811,177,288,109.0,531.0,109,124,156,171,187,359,531
812,21959,318,9865.0,175030.0,9865,9978,15029,18486,23920,91722,175030
