HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
101,8669,719,6114.0,22501.0,6114,7992,8348,8571,8866,9890,22501
102,542,66,10.0,9503.0,28,28,55,98,185,9299,9299
103,78,7,18.0,174.0,19,19,29,36,140,174,174
104,183,17130,0.0,7212.0,8,23,85,140,251,669,2180
105,299,604,190.0,2848.0,190,203,240,268,304,999,2848
106,128,480,62.0,312.0,62,78,109,125,140,245,312
107,4835,2,4655.0,5015.0,4655,4655,4655,4655,5015,5015,5015
108,15075,9,7584.0,32458.0,7584,7584,9516,12533,15570,32458,32458
109,2476,940,16.0,30509.0,25,25,155,269,1530,30487,30487
110,117,288,0.0,1125.0,0,1,1,2,9,1001,1125
111,105,36,5.0,908.0,5,5,8,22,42,908,908
112,170,576,43.0,918.0,46,62,125,156,189,607,918
113,21,126,1.0,386.0,5,5,14,17,19,72,72
114,35,288,14.0,346.0,14,14,21,27,33,144,346
115,119,480,1.0,1410.0,1,1,1,1,1,1019,1410
116,11310,287,1018.0,30871.0,1018,1156,11063,11525,12299,19352,30871
117,185,154,62.0,3000.0,62,62,109,137,154,2937,3000
118,73,360,31.0,236.0,31,36,62,76,78,140,236
119,2251,204,63.0,20883.0,80,104,1260,1947,2518,10675,10761
120,134,8784,32.0,39531.0,37,39,53,71,126,861,39384
121,438,288,76.0,3016.0,76,88,127,162,754,2107,3016
122,522,287,66.0,3598.0,66,70,102,129,797,3131,3598
123,18025,72,119.0,108155.0,150,150,208,17208,22161,108155,108155
124,13,360,9.0,44.0,9,9,11,12,14,25,44
125,18,3864,0.0,168.0,0,0,15,17,20,53,126
126,51,5765,0.0,33250.0,0,2,11,17,31,377,33250
127,1174,288,343.0,19786.0,343,390,582,773,990,5853,19786
128,50,149,15.0,234.0,28,30,31,46,48,234,234
129,83296,45,65623.0,122701.0,65623,65623,72710,81910,89431,122701,122701
130,502,287,271.0,2237.0,271,281,327,360,458,1609,2237
131,3,288,0.0,346.0,0,0,0,0,0,48,346
132,136,255,62.0,2078.0,62,62,109,124,140,328,2078
133,0,2880,0.0,218.0,0,0,0,0,0,15,218
134,45,1440,10.0,2568.0,10,12,15,15,19,1707,2568
135,816,234,0.0,6266.0,15,15,119,250,1554,2218,5783
136,18,62,0.0,109.0,0,0,11,15,15,109,109
137,897,4,5.0,3554.0,8,8,8,8,19,3554,3554
138,876,1440,749.0,7576.0,749,760,798,828,856,1778,7576
139,226,576,15.0,2325.0,54,56,78,223,358,577,577
140,6411,4321,624.0,29907.0,625,810,3878,5422,8188,15554,29907
141,389,413,129.0,5524.0,129,139,206,259,346,4267,5524
142,275,360,60.0,21255.0,60,62,78,78,93,637,21255
143,172,480,31.0,9809.0,31,46,78,97,119,524,9809
144,8252,16,80.0,18944.0,103,103,322,9996,12338,18264,18264
145,319,288,42.0,1796.0,42,48,69,81,659,1768,1796
146,1739,833,315.0,545969.0,315,671,815,976,1063,3179,545969
147,852,832,4.0,52609.0,4,12,15,15,19,48805,52609
148,24,10,6.0,86.0,12,12,27,27,27,27,27
149,43,12640,0.0,4341.0,15,28,30,33,38,123,1540
150,324,2638,0.0,2732.0,15,43,152,280,421,1301,2234
151,145,382,1.0,1662.0,1,1,1,2,15,1001,1662
152,3229,1438,720.0,174674.0,720,990,2165,3313,3782,6126,60344
153,29,1440,0.0,1343.0,0,0,15,15,31,126,1343
154,9196,35,4117.0,29612.0,4171,4171,5175,5723,12456,29612,29612
155,1948,5213,1177.0,22155.0,1302,1372,1596,1752,1962,5936,21099
156,3815,578,451.0,24013.0,563,589,2093,3749,4677,12313,18544
157,175,8,0.0,607.0,36,36,36,62,78,607,607
158,8,576,0.0,62.0,0,0,0,13,15,31,62
159,303980,52,300581.0,323876.0,300581,300581,301126,301585,304196,323876,323876
160,0,288,0.0,15.0,0,0,0,0,0,0,15
161,123,114,10.0,1029.0,10,11,46,73,94,583,583
162,63,22196,0.0,7849.0,10,18,44,51,62,129,7223
163,6015,1440,3750.0,36025.0,3750,4015,4602,5271,6762,15312,36025
164,65,54,0.0,1246.0,0,0,0,3,7,1246,1246
165,4347,15,99.0,22181.0,99,99,1793,2995,4628,22181,22181
166,12563,1635,140.0,29593.0,1676,10390,11574,12028,13136,20317,29591
167,150,287,1.0,1503.0,1,1,3,5,12,1011,1503
168,63781,1,63781.0,63781.0,63781,63781,63781,63781,63781,63781,63781
169,3374,5044,42.0,80861.0,255,763,1452,1698,2038,58285,79769
170,372,4,328.0,403.0,328,328,328,354,403,403,403
171,89,1,89.0,89.0,89,89,89,89,89,89,89
172,11,288,3.0,18.0,3,3,10,11,13,17,18
173,62,1440,0.0,518.0,0,15,15,46,78,266,518
174,18,960,9.0,265.0,9,11,14,15,17,79,265
175,0,720,0.0,19.0,0,0,0,0,0,0,19
176,1832,723,975.0,10442.0,975,1044,1427,1716,2074,4475,10442
177,15,8526,0.0,642.0,0,4,10,15,17,60,642
178,1037,480,140.0,6866.0,140,203,312,475,632,5997,6866
179,314,11480,139.0,16967.0,173,210,257,282,323,701,16967
180,374,1633,129.0,45834.0,129,171,218,251,296,879,45834
181,0,720,0.0,0.0,0,0,0,0,0,0,0
182,20,17224,0.0,19162.0,12,13,15,17,20,33,4801
183,14,288,3.0,34.0,3,8,11,13,18,28,34
184,291,8635,46.0,29340.0,89,130,176,291,396,458,10303
185,9510,63,8178.0,13071.0,8178,8178,8987,9267,9847,13071,13071
186,861,288,140.0,15526.0,140,171,281,359,1136,5492,15526
187,9,288,0.0,716.0,0,0,1,4,7,97,716
188,21,1440,0.0,218.0,0,0,15,19,29,49,218
189,0,1440,0.0,15.0,0,0,0,0,0,0,15
190,300474,270,300307.0,301246.0,300307,300310,300382,300447,300535,301032,301246
191,577,288,2.0,3942.0,2,7,71,316,970,2206,3942
192,491,1440,156.0,25287.0,156,171,187,203,234,25186,25287
193,237,287,93.0,812.0,93,119,172,203,255,755,812
194,27,1412,3.0,474.0,10,14,20,23,29,101,242
195,1119,480,124.0,100409.0,124,140,421,631,854,3610,100409
196,694,2880,0.0,31048.0,421,437,500,577,681,2096,15524
197,376,5209,46.0,112598.0,56,72,124,145,171,1952,38751
198,174,289,0.0,1477.0,0,0,2,2,24,1397,1477
199,463,65,218.0,1151.0,218,218,359,434,497,1151,1151
200,868,288,200.0,8803.0,200,206,316,439,1046,4243,8803
201,67170,428,21070.0,301040.0,21084,21091,21132,21178,23331,300357,301040
202,240977,288,240176.0,243300.0,240176,240188,240470,240830,241274,243142,243300
203,33645,480,16038.0,198541.0,16038,20405,25151,28512,33657,108884,198541
204,1124,46,82.0,5470.0,82,82,160,342,2364,5470,5470
205,32,3234,21.0,279.0,21,22,25,27,31,94,279
206,117,1287,27.0,12164.0,36,42,56,89,156,354,2479
207,194,16871,102.0,9233.0,109,123,145,156,179,882,7772
208,4061,288,2293.0,20161.0,2293,2342,2608,2947,3568,17073,20161
209,129,1440,1.0,1486.0,1,1,1,1,1,1013,1486
210,1014,1441,359.0,39751.0,359,437,562,613,703,10015,39751
211,921,286,421.0,4217.0,421,428,476,535,1222,3591,4217
212,42,861,0.0,2610.0,11,13,18,26,40,365,2610
213,46,1440,0.0,1578.0,0,0,31,31,33,468,1578
214,874,123,18.0,2417.0,18,21,545,1024,1073,2241,2417
215,305,288,31.0,3333.0,31,32,43,59,575,1559,3333
216,6740,1,6740.0,6740.0,6740,6740,6740,6740,6740,6740,6740
217,3914,4432,90.0,97685.0,125,204,1317,3554,5120,22149,97685
218,1157,3,795.0,1703.0,795,795,795,975,1703,1703,1703
219,441,4005,12.0,8370.0,12,17,42,68,167,6496,7741
220,117,8592,0.0,31294.0,20,37,63,73,81,667,9241
221,1878,3,132.0,5250.0,193,193,193,193,5250,5250,5250
222,125,319,62.0,477.0,62,78,109,125,140,218,477
223,873,720,32.0,10203.0,32,40,71,537,1130,4364,10203
224,3176,287,1265.0,81589.0,1265,1328,1794,2181,2665,55647,81589
225,946,1323,187.0,3547.0,202,242,402,625,1624,2401,2401
226,628,993,31.0,155911.0,31,31,46,63,125,296,155911
227,1829,1913,0.0,62856.0,0,0,0,7,20,19132,62856
228,16247,288,14463.0,50092.0,14463,14582,15318,15727,16292,26308,50092
229,246,288,203.0,421.0,203,203,218,234,250,390,421
230,262,4045,17.0,4156.0,17,22,93,177,279,2001,4142
231,848,287,155.0,10603.0,155,166,194,219,284,10148,10603
232,622,149,17.0,12218.0,17,22,36,60,172,10054,12218
233,55,1445,0.0,9051.0,0,0,15,31,46,597,9051
234,305,3926,187.0,12650.0,202,222,250,264,281,814,7087
235,144,445,46.0,768.0,46,51,100,124,147,417,768
236,69,544,0.0,5453.0,0,0,3,4,127,431,431
237,4896,39,456.0,14344.0,517,517,838,6003,9280,14344,14344
238,1995,652,34.0,22117.0,34,36,160,1418,2733,11078,15090
239,9,11467,4.0,6709.0,4,5,6,6,9,23,1362
240,238,5902,28.0,27893.0,31,36,42,47,49,1182,27893
241,18,8614,0.0,1341.0,5,9,15,15,15,92,457
242,7,1445,0.0,109.0,0,0,0,0,15,31,109
243,209502,13,60.0,302945.0,611,611,3237,301154,301995,302945,302945
244,568,6327,47.0,28253.0,136,178,282,314,366,3133,28253
245,15,1440,0.0,2248.0,0,0,0,0,0,360,2248
246,4841,307,31.0,23833.0,3946,3946,4512,5065,5091,6020,6020
247,33,375,1.0,471.0,1,1,5,9,55,216,222
248,1875,1454,592.0,6793.0,592,632,1293,1556,2342,4777,6793
249,370,145,94.0,3137.0,94,109,146,196,396,1947,3137
250,964,288,85.0,4980.0,85,94,440,832,1195,3971,4980
251,421,5760,65.0,24171.0,70,124,241,318,496,1470,7280
252,24,360,0.0,453.0,0,0,0,15,20,209,453
253,21566,288,19227.0,39984.0,19227,19416,20219,20680,21349,37915,39984
254,1049,288,305.0,16335.0,305,334,488,720,896,14695,16335
255,215,10,32.0,508.0,32,32,129,135,357,508,508
256,331,21,10.0,1709.0,13,13,25,241,477,1709,1709
257,54,257,1.0,1279.0,1,1,3,7,8,1207,1279
258,168,293,58.0,4166.0,58,61,109,124,145,527,4166
259,0,1440,0.0,422.0,0,0,0,0,0,0,422
260,160,1354,26.0,2955.0,31,41,63,87,156,830,1588
261,2588,1092,1813.0,29125.0,1813,1864,1934,1992,2084,19282,29125
262,111,2186,0.0,4000.0,0,0,0,0,15,2031,2820
263,99,13,14.0,375.0,14,14,49,78,109,375,375
264,2741,213,795.0,25145.0,795,839,1732,2127,2962,11096,25145
265,529,5914,29.0,27928.0,53,137,229,270,309,2838,27928
266,6024,288,4112.0,12171.0,4112,4139,5068,5862,6636,11459,12171
267,7,3197,0.0,503.0,1,2,5,6,7,43,471
268,2842,1649,836.0,161386.0,851,916,1225,1539,2431,15406,161386
269,2112,3870,437.0,39053.0,500,613,1024,1283,2894,7839,19988
270,23,201,0.0,281.0,0,0,6,15,19,222,281
271,112577,4,93322.0,139512.0,93322,93322,93322,104625,112849,139512,139512
272,173,1440,124.0,3296.0,124,124,140,156,187,455,3296
273,110,8587,0.0,1589.0,0,1,1,1,216,747,1175
274,23413,732,125.0,178589.0,173,390,5191,15392,32723,115028,178589
275,733,2062,89.0,16135.0,111,147,264,347,884,4942,14449
276,898,164,31.0,12391.0,46,46,100,928,1174,2341,12391
277,81,360,1.0,751.0,28,28,53,69,109,164,164
278,32,10,10.0,98.0,32,32,32,32,32,32,32
279,1573,720,1352.0,6196.0,1352,1390,1487,1545,1609,1976,6196
280,435,288,218.0,754.0,218,281,357,437,501,687,754
281,0,360,0.0,0.0,0,0,0,0,0,0,0
282,121,764,31.0,8577.0,31,31,62,79,130,265,4358
283,99,480,0.0,1264.0,0,0,1,1,9,911,1264
284,941,14,133.0,1718.0,134,134,321,828,1687,1687,1687
285,154,480,78.0,1609.0,78,78,109,140,156,421,1609
286,9637,2432,393.0,83256.0,393,1018,10008,10018,10028,27143,72253
287,50,17198,13.0,2870.0,14,18,26,43,68,132,605
288,375,7,59.0,1061.0,62,62,154,154,873,1061,1061
289,31,288,0.0,925.0,0,1,1,2,3,875,925
290,101,288,42.0,441.0,42,46,62,79,113,358,441
291,120,480,0.0,1500.0,0,0,1,1,1,1080,1500
292,25022,28,62.0,62093.0,62,62,13540,22107,32472,62093,62093
293,12902,11,1899.0,23147.0,1899,1899,9833,13344,16459,19824,19824
294,1396,576,578.0,5684.0,578,640,878,1033,1485,4789,5684
295,1326,1433,140.0,111265.0,140,220,546,876,1372,9353,111265
296,191,52,35.0,614.0,35,35,94,136,189,614,614
297,22937,719,22090.0,32100.0,22090,22154,22444,22688,23172,25412,32100
298,0,1440,0.0,8.0,0,0,0,0,0,0,8
299,6356,737,556.0,14235.0,1488,4896,5634,6175,6831,11738,14235
300,1996,288,29.0,20122.0,29,49,165,1853,3108,8047,20122
301,56,1440,17.0,1909.0,19,21,24,30,43,625,1909
302,93,134,46.0,172.0,46,46,78,93,109,156,172
303,74,53,0.0,2410.0,5,5,10,16,51,616,616
304,743,227,17.0,6316.0,17,21,86,152,1123,5587,5587
305,186,19824,105.0,6272.0,108,115,120,124,140,1409,5710
306,2216,480,1123.0,8477.0,1123,1137,1385,1599,3016,6978,8477
307,24,1440,0.0,406.0,0,7,15,19,20,95,406
308,54712,857,228.0,267999.0,948,2402,13672,32074,61869,229429,267777
309,301,288,156.0,3328.0,156,156,234,296,328,548,3328
310,22924,10,29.0,61423.0,29,29,36,670,56280,61423,61423
311,38379,534,98.0,488093.0,98,767,1023,1224,1485,480235,488093
312,928,1159,90.0,103152.0,90,93,109,141,171,344,103152
313,197,24,125.0,407.0,125,125,140,171,234,407,407
314,184,288,93.0,908.0,93,121,156,171,198,543,908
315,106,1431,31.0,4188.0,31,46,62,78,111,375,4188
316,31,720,2.0,2353.0,2,3,8,9,10,760,2353
317,22878,629,10.0,300376.0,572,572,4583,9826,18067,215128,300376
318,348,301,49.0,1720.0,62,77,171,268,414,1218,1720
319,5103,20,306.0,12331.0,343,343,372,429,12172,12172,12172
320,1414,19,0.0,26856.0,0,0,0,0,0,26856,26856
321,94,882,5.0,1485.0,5,5,6,6,10,1062,1485
322,19,1445,0.0,3000.0,0,0,15,15,15,174,3000
323,941,86,0.0,29563.0,0,0,0,0,19,29563,29563
324,264,1962,0.0,9155.0,0,13,34,242,346,1703,9155
325,151,288,62.0,578.0,62,62,78,120,187,453,578
326,21,360,15.0,59.0,15,16,18,20,22,38,59
327,267,2346,73.0,13309.0,88,138,169,192,259,2214,10878
328,35843,288,33348.0,42692.0,33348,33645,34857,35651,36494,40087,42692
329,472,17038,65.0,73240.0,160,192,271,318,415,4195,26653
330,2408,391,1055.0,17219.0,1055,1104,1344,1800,2664,10825,15159
331,1,153,0.0,17.0,0,0,0,0,3,8,8
332,16,1919,0.0,672.0,1,1,13,14,16,64,672
333,266,480,171.0,726.0,171,173,218,235,270,640,726
334,5,13954,0.0,4078.0,0,0,0,0,1,78,2750
335,17397,675,1746.0,71335.0,1767,1800,2802,19925,27494,42542,55533
336,14713,288,8203.0,28824.0,8203,9811,13348,14275,15834,23358,28824
337,710,1440,31.0,11132.0,31,46,124,188,281,4143,11132
338,35,1404,8.0,509.0,9,10,16,29,48,135,322
339,1875,1440,63.0,21996.0,63,810,1052,1320,2441,5185,21996
340,39,1428,34.0,98.0,34,35,38,39,40,52,98
341,2,288,0.0,155.0,0,0,0,0,0,44,155
342,2,289,0.0,125.0,0,0,0,0,0,49,125
343,203,360,4.0,1995.0,4,4,5,18,133,1344,1995
344,0,158,0.0,31.0,0,0,0,0,0,18,31
345,9767,531,546.0,157863.0,546,648,2117,6759,10180,64349,157863
346,1049,288,114.0,3971.0,114,116,990,1061,1170,2893,3971
347,265,626,78.0,4332.0,109,140,175,259,303,699,2353
348,2233,19,9.0,8657.0,128,128,1803,2520,2821,4947,4947
349,1,289,0.0,237.0,0,0,0,0,0,19,237
350,320,778,3.0,18868.0,3,4,7,10,64,9041,18868
351,246,288,0.0,8595.0,0,0,0,0,122,3640,8595
352,1607,33,645.0,3276.0,1034,1034,1034,1465,2539,2539,2539
353,260,288,3.0,1527.0,3,8,19,22,650,1132,1527
354,617,34,103.0,1664.0,111,111,206,454,1018,1664,1664
355,14,57,0.0,285.0,2,2,2,2,9,115,115
356,390,359,44.0,3253.0,46,62,140,218,344,2325,3253
357,30049,719,29995.0,33676.0,29995,30003,30016,30024,30034,30445,33676
358,180,289,0.0,9820.0,0,0,0,31,78,9587,9820
359,124,288,2.0,1043.0,2,2,3,4,11,988,1043
360,41,360,4.0,1384.0,4,4,8,11,28,972,1384
361,485,5,31.0,1161.0,31,31,31,109,1093,1161,1161
362,2702,11,1929.0,3590.0,1929,1929,2346,2777,3018,3330,3330
363,371,2,365.0,377.0,365,365,365,365,377,377,377
364,1124,220,421.0,4405.0,421,481,718,849,1281,3750,4405
365,393,61,157.0,4345.0,182,182,338,371,573,573,573
366,75,6422,9.0,48248.0,10,15,23,27,31,314,48248
367,162684,377,98864.0,450272.0,98864,100928,118659,138345,191294,379055,450272
368,441,5740,4.0,6024.0,5,7,68,92,761,2341,4015
369,1850,1120,1199.0,6677.0,1211,1271,1516,1717,1964,4552,5167
370,24280,719,20477.0,70647.0,20477,20679,22455,23529,25079,36759,70647
371,163,288,78.0,330.0,78,93,140,156,187,266,330
372,16771,288,4398.0,43403.0,4398,5538,7195,10525,30738,40284,43403
373,47,677,0.0,745.0,0,12,31,45,49,187,745
374,16,288,0.0,234.0,0,0,0,17,19,221,234
375,1153,46,46.0,11742.0,130,130,299,358,694,11742,11742
376,123,480,0.0,2437.0,0,0,11,19,59,1062,2437
377,306,698,6.0,12382.0,6,7,11,19,69,3796,12382
378,257,3331,14.0,3234.0,15,19,53,311,395,934,3234
379,16,2,8.0,24.0,8,8,8,8,24,24,24
380,157,222,0.0,986.0,0,0,1,2,3,973,986
381,14,360,11.0,30.0,11,11,13,14,15,26,30
382,235,77,0.0,2563.0,31,31,90,156,157,2563,2563
383,38386,288,203.0,220094.0,258,275,2410,32040,66766,136807,220094
384,10,9695,6.0,237.0,7,8,9,9,11,31,237
385,33,20,1.0,309.0,5,5,5,10,16,127,127
386,17,1,17.0,17.0,17,17,17,17,17,17,17
387,120,283,3.0,4417.0,4,4,11,63,183,628,628
388,31282,1086,48.0,42272.0,2070,30022,30070,30303,32555,35792,39895
389,5265,288,1224.0,10489.0,1224,1297,3140,5080,7280,9709,10489
390,1,285,0.0,62.0,0,0,0,0,0,46,62
391,0,288,0.0,10.0,0,0,0,0,0,0,10
392,1526,4284,447.0,60570.0,466,593,865,1059,1712,4257,60570
393,68,37,31.0,404.0,42,42,52,59,62,404,404
394,270,287,1.0,4124.0,1,1,1,8,547,2325,4124
395,145,287,1.0,1367.0,1,1,3,8,24,1012,1367
396,120,14,78.0,421.0,81,81,81,111,111,249,249
397,225,1440,4.0,3704.0,4,5,9,14,77,1707,3704
398,9020,454,5577.0,20562.0,5577,5879,7229,8190,9855,16876,20562
399,614,533,67.0,33243.0,67,75,106,132,210,9422,33243
400,211,478,156.0,656.0,156,156,187,203,234,406,656
401,16,17948,0.0,47296.0,1,1,3,4,6,186,47296
402,4,576,0.0,79.0,0,0,0,0,13,33,79
403,376,141,51.0,4394.0,59,70,128,167,543,2108,4394
404,7,1152,1.0,138.0,1,1,1,3,4,102,135
405,1671,3,235.0,4218.0,235,235,235,562,4218,4218,4218
406,21,1440,0.0,525.0,0,0,15,15,19,167,525
407,6,288,0.0,152.0,0,0,0,0,15,50,152
408,523,288,35.0,8247.0,35,41,82,96,128,6737,8247
409,296,288,0.0,7313.0,0,0,0,0,0,5984,7313
410,700,8631,49.0,28232.0,216,286,513,584,647,2558,8243
411,31593,1440,359.0,63378.0,359,401,732,39992,62186,62504,63378
412,100,2010,0.0,4534.0,0,15,31,46,76,2122,4534
413,131,289,31.0,3056.0,31,31,78,93,136,595,3056
414,8,288,0.0,342.0,0,0,0,0,0,109,342
415,510,1980,59.0,7431.0,78,125,279,384,550,2083,4406
416,93,287,0.0,7110.0,0,0,0,0,0,2127,7110
417,30109,3,30097.0,30117.0,30097,30097,30097,30115,30117,30117,30117
418,534,8640,3.0,5410.0,314,342,365,381,600,1740,3386
419,757,288,281.0,9370.0,281,298,366,428,775,2976,9370
420,829,1440,15.0,14049.0,15,718,765,796,843,1111,14049
421,705,288,76.0,3908.0,76,85,148,611,1056,2853,3908
422,30,1440,6.0,230.0,6,10,15,31,31,67,230
423,125,4,31.0,219.0,91,91,91,95,95,219,219
424,86,6772,8.0,9402.0,9,12,16,20,28,1430,7754
425,5,11,1.0,14.0,1,1,1,7,9,14,14
426,7809,1100,279.0,300472.0,281,288,324,380,468,300037,300472
427,1015,3,109.0,1937.0,554,554,554,554,1937,1937,1937
428,109,288,8.0,2960.0,8,9,21,38,78,1560,2960
429,718,5977,49.0,33039.0,71,267,408,460,511,3583,27737
430,65,288,10.0,684.0,10,10,18,31,64,622,684
431,194,4255,17.0,3922.0,20,30,62,88,161,1704,3236
432,1583,720,28.0,22562.0,28,49,81,821,2045,7695,22562
433,238,288,7.0,3372.0,7,8,28,37,254,2546,3372
434,9160,288,1279.0,48482.0,1279,1294,1989,5380,14457,45809,48482
435,25,29,0.0,728.0,0,0,0,0,0,728,728
436,1,17276,0.0,343.0,0,0,0,0,2,9,62
437,14,360,11.0,37.0,11,11,13,14,15,26,37
438,34,287,15.0,140.0,15,15,31,31,46,62,140
439,21,152,7.0,258.0,7,7,7,8,19,254,258
440,115,492,46.0,1305.0,46,46,62,78,137,593,812
441,44,268,1.0,548.0,1,1,2,38,56,245,548
442,1322,4668,234.0,13826.0,281,407,735,1032,1468,6002,10447
443,99,360,1.0,1311.0,1,1,1,1,13,983,1311
444,2,289,0.0,46.0,0,0,0,0,0,31,46
445,12,1240,0.0,1427.0,1,1,2,4,6,205,714
446,120,480,62.0,328.0,62,62,109,109,140,218,328
447,140938,1863,387.0,605935.0,449,727,16053,141974,179164,601647,605935
448,294,480,93.0,4870.0,93,96,140,160,189,3289,4870
449,226,81,171.0,546.0,187,187,202,210,224,546,546
450,695,8630,49.0,35405.0,209,302,505,583,645,2431,9971
451,80,164,10.0,2468.0,10,12,15,15,31,1843,2468
452,80,299,10.0,407.0,10,14,58,74,95,231,266
453,261,1,261.0,261.0,261,261,261,261,261,261,261
454,1035,767,271.0,97366.0,320,356,594,861,1011,6126,97366
455,14113,26,9243.0,18908.0,14113,14113,14113,14113,14113,14113,14113
456,2744,1453,1279.0,23989.0,1279,1370,2079,2297,2785,14109,23989
457,67,1440,26.0,6039.0,26,31,31,46,96,187,6039
458,3016,1440,538.0,22018.0,538,575,972,2423,4539,12049,22018
459,958,1440,691.0,2593.0,691,769,882,944,1018,1293,2593
460,443,2400,0.0,3890.0,117,170,275,375,523,1202,2086
461,19,267415,3.0,5247.0,3,12,15,17,18,83,1207
462,240,1440,2.0,12037.0,2,8,26,36,68,1774,12037
463,83,5036,10.0,2791.0,11,12,19,33,96,891,2001
464,463,717,3.0,5830.0,3,3,10,48,794,3260,5830
465,842,1440,62.0,80858.0,62,88,252,366,559,12275,40553
466,210,352,0.0,1357.0,0,0,62,200,295,659,1220
467,174,993,0.0,16187.0,0,11,15,23,34,11672,16187
468,249,1,249.0,249.0,249,249,249,249,249,249,249
469,70,720,0.0,1391.0,0,0,0,0,0,838,1391
470,1,1581,0.0,21.0,0,0,0,0,0,19,21
471,400,288,30.0,3439.0,30,31,52,83,511,2609,3439
472,50,288,0.0,1327.0,0,0,0,0,0,875,1327
473,0,288,0.0,62.0,0,0,0,0,0,15,62
474,47,53,1.0,472.0,2,2,8,38,38,472,472
475,661,1439,82.0,7117.0,82,90,110,155,1023,4051,7117
476,96,442,0.0,1843.0,0,0,15,31,78,1115,1115
477,3624,12754,68.0,205419.0,68,283,1058,1693,2734,47071,187760
478,1234,1440,895.0,61844.0,895,907,961,1006,1100,3470,38097
479,8,286,0.0,190.0,0,0,0,0,0,125,190
480,18,288,0.0,134.0,0,0,15,15,20,87,134
481,15,288,0.0,310.0,0,0,0,0,0,265,310
482,56,5949,14.0,4612.0,14,17,22,29,46,416,4044
483,11,579,0.0,230.0,0,0,0,5,16,110,230
484,589,720,62.0,99082.0,62,93,125,156,240,6190,99082
485,0,624,0.0,19.0,0,0,0,0,0,5,7
486,38,565,1.0,859.0,1,1,8,11,18,511,859
487,5921,3887,229.0,301013.0,241,255,283,313,368,300031,300934
488,630,288,17.0,9928.0,17,24,86,144,1044,3110,9928
489,6527,1929,62.0,69683.0,62,107,263,518,1689,57415,67817
490,3281,3666,187.0,60930.0,257,355,535,779,4617,23606,60776
491,1665,240,220.0,12337.0,220,274,692,1230,2124,7044,12337
492,227,478,67.0,11826.0,67,91,140,175,223,679,11826
493,187,240,0.0,1769.0,0,0,0,2,39,1482,1769
494,785,288,18.0,4049.0,18,19,65,746,1056,3774,4049
495,49231,2578,46.0,208443.0,46,62,4020,29825,100755,201315,205940
496,497,1440,0.0,38252.0,0,15,62,109,282,6731,25683
497,2009,1440,968.0,46688.0,968,995,1412,1538,1796,23943,46688
498,7,360,5.0,87.0,5,5,7,7,8,16,87
499,847,480,298.0,4550.0,298,303,346,451,1226,2645,4550
500,652,288,163.0,3183.0,163,182,226,263,1057,2243,3183
501,946,69,86.0,2504.0,86,86,552,798,1308,2504,2504
502,663,720,56.0,3457.0,58,131,489,524,576,2784,3434
503,138,1440,2.0,2593.0,2,2,3,3,8,1030,2593
504,24,12,1.0,139.0,8,8,8,30,30,30,30
505,25507,288,14040.0,253196.0,14040,15701,19948,21675,25017,68213,253196
506,1783,21,10.0,13091.0,10,10,16,29,162,8161,8161
507,34584,50,15.0,164974.0,786,786,4536,9685,45568,164974,164974
508,112,740,2.0,4250.0,2,3,16,38,90,1019,4250
509,149,616,7.0,14433.0,7,15,36,62,101,2471,4842
510,157,1440,1.0,1501.0,1,1,1,1,3,1001,1501
511,10004,16,28.0,36970.0,45,45,80,5578,11615,36970,36970
512,969,288,46.0,16221.0,46,46,93,139,173,14049,16221
513,284,11093,6.0,16097.0,7,9,15,25,58,7191,16097
514,32,31548,0.0,3482.0,6,16,22,25,43,70,1507
515,22408,46,640.0,151883.0,900,900,2765,12452,30194,151883,151883
516,42468,443,42019.0,45515.0,42019,42037,42060,42075,42767,44692,45515
517,12294,28,0.0,32852.0,17,17,9574,10203,13423,32852,32852
518,252,26,0.0,2544.0,0,0,17,38,72,2544,2544
519,436,1904,29.0,4360.0,46,245,245,389,569,704,2078
520,33,288,0.0,516.0,0,0,18,29,31,222,516
521,4450,5,4405.0,4489.0,4450,4450,4450,4450,4450,4450,4450
522,0,720,0.0,126.0,0,0,0,0,0,0,126
523,105,1440,0.0,1298.0,0,0,0,0,1,974,1298
524,61,4511,12.0,3593.0,12,13,17,21,37,866,3593
525,15753,55,7603.0,39899.0,8391,8391,10735,14211,16406,39899,39899
526,214,116,17.0,2001.0,17,18,25,36,94,1632,2001
527,187,21666,12.0,18796.0,13,14,15,16,17,5557,18490
528,57021,216,48364.0,64899.0,48364,49546,54973,57383,59218,64220,64899
529,2126,99,515.0,6127.0,515,515,2027,2171,2385,6127,6127
530,30,349,0.0,828.0,0,0,15,18,30,239,828
531,1872,1440,1125.0,13520.0,1125,1142,1238,1363,2276,4066,13520
532,190,288,46.0,3606.0,46,59,107,135,187,2406,3606
533,311,239,126.0,2446.0,126,134,177,201,241,1400,2446
534,146,1642,9.0,2483.0,22,24,44,66,238,630,1291
535,4,2759,0.0,470.0,0,0,0,0,6,50,235
536,1735,2862,204.0,28504.0,230,312,725,1147,1898,12802,28504
537,455,381,0.0,9449.0,0,0,10,19,110,4750,9449
538,6,1435,0.0,1140.0,0,0,0,0,0,156,1140
